id;name;address;owner;contact;phone
1;overcooked gleefully scotch;seriously instruction syringe;after in fooey;owlishly happily;887.441.3865 x9889
2;collectivise meager;longingly until vice;community er;whenever drat;260-299-3720 x32805
3;prosper;gosh;alongside ultimately equalize;hydrolyse pace including;1-691-289-5441 x43317
4;seeder gosh;ultimately ouch;circa puzzle queasily;center;541.981.5873 x92456
5;unlike although;between treat;distinguish;supposing merrily reach;889.688.5485
6;indeed;indeed speedily dapper;granny from within;longingly original;(583) 342-2367 x8859
7;ew;down scapegoat;opposite;optimistically;928-584-2548
8;brisk;ouch ew;ugh and er;while aw direct;1-652-225-5320 x092
9;necklace quarrelsome relief;since ascertain;duh likely grease;gah;493.602.4549 x95767
10;incidentally anenst;med;sleepily;considering;518-490-7774 x310
