id;name;model;serial_number;manufacturer;created_on
1;jog incidentally;anybody gleefully yawningly;abaft munch near;primp search for;2021-08-06
2;however whoever;hence resolution which;definite;flat wherever;2021-08-06
3;woot satiate hourly;woot underwrite;inasmuch considering;unto;2021-08-06
4;because;awkwardly hmph glamorize;sidetrack about;instead;2021-08-05
5;under;adjudicate ew democratise;next sovereignty;serenade boo memorable;2021-08-06
6;unto buttery;opposite oh;as stormy quizzically;ew growing;2021-08-05
7;neuter ouch;who illiterate;frantically;after deify;2021-08-06
8;onto;yearly;read;gosh;2021-08-06
9;lively form cede;educated;rewarding;wisely;2021-08-06
10;account indolent harm;spoon;yuck woot;gosh vivaciously zowie;2021-08-05
