id;name;logo;logo_content_type
1;bribery;../fake-data/blob/hipster.png;image/png
2;linguistics keep;../fake-data/blob/hipster.png;image/png
3;ha;../fake-data/blob/hipster.png;image/png
4;instead section supposing;../fake-data/blob/hipster.png;image/png
5;yippee;../fake-data/blob/hipster.png;image/png
6;flit;../fake-data/blob/hipster.png;image/png
7;graceful meanwhile even;../fake-data/blob/hipster.png;image/png
8;aside hot jar;../fake-data/blob/hipster.png;image/png
9;ultimately afore;../fake-data/blob/hipster.png;image/png
10;blah minus;../fake-data/blob/hipster.png;image/png
